"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0318465,0.0495675,0.0680155,0.0863275,0.1042775,0.1212365,0.132412,0.1376645,0.1391465,0.1379395,0.1364325,0.135583,0.13491,0.134401,0.134271,0.134708,0.1336055,0.130902,0.1257205,0.11845,0.110786,0.104881,0.098643,0.092017,0.085914,0.0813895,0.072652,0.0612165,0.0495835,0.038534,0.0275505,0.020146,0.01446,0.0102625,0.0064755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0314705,0.0489165,0.067149,0.085353,0.1033935,0.12064,0.1321635,0.137769,0.139476,0.138344,0.1368055,0.135853,0.1351255,0.1346345,0.134574,0.1351105,0.134176,0.1316925,0.1267865,0.119816,0.1123795,0.1065265,0.100255,0.093518,0.087213,0.0823565,0.073363,0.061713,0.0499065,0.0387235,0.0276815,0.020215,0.0144925,0.010277,0.006479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0312245,0.0492535,0.068114,0.086816,0.1046795,0.121079,0.1319315,0.137171,0.1387785,0.137767,0.1364245,0.135659,0.135102,0.1347495,0.13476,0.1352885,0.134441,0.1321345,0.1274875,0.120824,0.1136475,0.107883,0.101628,0.094835,0.0883525,0.083151,0.0739085,0.062065,0.0501065,0.03881,0.0277595,0.0202365,0.014484,0.010259,0.006454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030961,0.049598,0.069124,0.0883685,0.1060755,0.1216215,0.131789,0.136647,0.1381465,0.137255,0.1361115,0.1355395,0.1351575,0.1349475,0.1350295,0.1355475,0.134785,0.132654,0.1282635,0.121902,0.1149825,0.109306,0.1030665,0.0962155,0.0895545,0.084007,0.07451,0.062464,0.050344,0.0389245,0.027855,0.0202685,0.0144815,0.010245,0.00643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0308775,0.050061,0.0701225,0.089738,0.107221,0.121971,0.131532,0.1360855,0.1375155,0.136742,0.135774,0.135363,0.1351295,0.1350435,0.135196,0.135718,0.1350535,0.133107,0.1289785,0.1229235,0.1162635,0.110677,0.1044545,0.097547,0.090712,0.084828,0.0750835,0.062841,0.050564,0.0390245,0.0279315,0.0202895,0.014472,0.010223,0.006401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0313245,0.0509645,0.071367,0.0911205,0.1084055,0.122663,0.131831,0.1361495,0.1374255,0.1365525,0.13551,0.1350325,0.1347885,0.1347505,0.1349745,0.135572,0.135069,0.1333545,0.1295145,0.1237735,0.1173705,0.111877,0.1056695,0.098701,0.091702,0.085508,0.0755405,0.063122,0.0507075,0.039068,0.0279485,0.0202775,0.0144425,0.0101825,0.0063585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031555,0.051379,0.07191,0.091707,0.108927,0.1230345,0.132098,0.136366,0.137565,0.1365745,0.1353945,0.1347725,0.1344605,0.134441,0.134737,0.1354375,0.135116,0.1336445,0.130096,0.124665,0.1185105,0.1131035,0.106902,0.0998655,0.092702,0.0862115,0.0760255,0.0634305,0.050875,0.0391305,0.0279715,0.020267,0.014413,0.010143,0.00632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030876,0.0500625,0.070175,0.0899025,0.1075805,0.122605,0.132434,0.1371885,0.138534,0.137375,0.135878,0.1348885,0.134347,0.13427,0.1346415,0.135521,0.135438,0.134242,0.130999,0.1258745,0.119943,0.114596,0.108367,0.101224,0.0938775,0.0871,0.076685,0.0638905,0.051169,0.0392925,0.028056,0.0202905,0.014404,0.0101265,0.0063075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0296815,0.0479235,0.0673695,0.0868735,0.1049885,0.121036,0.1317935,0.1372305,0.1389145,0.137766,0.1361105,0.1348925,0.134236,0.134194,0.1347115,0.13582,0.1360035,0.135092,0.1321545,0.127332,0.1216085,0.116304,0.1100295,0.1027655,0.0952255,0.088156,0.0774965,0.06448,0.0515675,0.0395345,0.0281955,0.0203445,0.014413,0.0101245,0.0063075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0276015,0.0443065,0.0627605,0.08208,0.1010645,0.118878,0.131145,0.1375995,0.139755,0.138579,0.1366495,0.1350615,0.134192,0.134143,0.1348115,0.136195,0.1366795,0.1360745,0.133455,0.128936,0.1234085,0.118133,0.1117965,0.1043925,0.09665,0.0892975,0.0783905,0.0651425,0.0520275,0.0398235,0.028365,0.0204075,0.0144225,0.0101305,0.0063215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
