Rwt,deltaR,Rfinal,mu,allottedGens,spills,0
1.0,0.02,3.0,0.001,100.0,1000.0,
1.0,0.05,3.0,0.001,100.0,1000.0,
1.0,0.1,3.0,0.001,100.0,1000.0,
1.0,0.25,3.0,0.001,100.0,1000.0,
1.0,1.0,3.0,0.001,100.0,1000.0,
1.025,0.02,3.0,0.001,100.0,1000.0,
1.025,0.05,3.0,0.001,100.0,1000.0,
1.025,0.1,3.0,0.001,100.0,1000.0,
1.025,0.25,3.0,0.001,100.0,1000.0,
1.025,1.0,3.0,0.001,100.0,1000.0,
1.05,0.02,3.0,0.001,100.0,1000.0,
1.05,0.05,3.0,0.001,100.0,1000.0,
1.05,0.1,3.0,0.001,100.0,1000.0,
1.05,0.25,3.0,0.001,100.0,1000.0,
1.05,1.0,3.0,0.001,100.0,1000.0,
1.075,0.02,3.0,0.001,100.0,1000.0,
1.075,0.05,3.0,0.001,100.0,1000.0,
1.075,0.1,3.0,0.001,100.0,1000.0,
1.075,0.25,3.0,0.001,100.0,1000.0,
1.075,1.0,3.0,0.001,100.0,1000.0,
1.1,0.02,3.0,0.001,100.0,1000.0,
1.1,0.05,3.0,0.001,100.0,1000.0,
1.1,0.1,3.0,0.001,100.0,1000.0,
1.1,0.25,3.0,0.001,100.0,1000.0,
1.1,1.0,3.0,0.001,100.0,1000.0,
1.125,0.02,3.0,0.001,100.0,1000.0,
1.125,0.05,3.0,0.001,100.0,1000.0,
1.125,0.1,3.0,0.001,100.0,1000.0,
1.125,0.25,3.0,0.001,100.0,1000.0,
1.125,1.0,3.0,0.001,100.0,1000.0,
1.15,0.02,3.0,0.001,100.0,1000.0,
1.15,0.05,3.0,0.001,100.0,1000.0,
1.15,0.1,3.0,0.001,100.0,1000.0,
1.15,0.25,3.0,0.001,100.0,1000.0,
1.15,1.0,3.0,0.001,100.0,1000.0,
1.175,0.02,3.0,0.001,100.0,1000.0,
1.175,0.05,3.0,0.001,100.0,1000.0,
1.175,0.1,3.0,0.001,100.0,1000.0,
1.175,0.25,3.0,0.001,100.0,1000.0,
1.175,1.0,3.0,0.001,100.0,1000.0,
1.2,0.02,3.0,0.001,100.0,1000.0,
1.2,0.05,3.0,0.001,100.0,1000.0,
1.2,0.1,3.0,0.001,100.0,1000.0,
1.2,0.25,3.0,0.001,100.0,1000.0,
1.2,1.0,3.0,0.001,100.0,1000.0,
1.225,0.02,3.0,0.001,100.0,1000.0,
1.225,0.05,3.0,0.001,100.0,1000.0,
1.225,0.1,3.0,0.001,100.0,1000.0,
1.225,0.25,3.0,0.001,100.0,1000.0,
1.225,1.0,3.0,0.001,100.0,1000.0,
1.25,0.02,3.0,0.001,100.0,1000.0,
1.25,0.05,3.0,0.001,100.0,1000.0,
1.25,0.1,3.0,0.001,100.0,1000.0,
1.25,0.25,3.0,0.001,100.0,1000.0,
1.25,1.0,3.0,0.001,100.0,1000.0,
1.275,0.02,3.0,0.001,100.0,1000.0,
1.275,0.05,3.0,0.001,100.0,1000.0,
1.275,0.1,3.0,0.001,100.0,1000.0,
1.275,0.25,3.0,0.001,100.0,1000.0,
1.275,1.0,3.0,0.001,100.0,1000.0,
1.3,0.02,3.0,0.001,100.0,1000.0,
1.3,0.05,3.0,0.001,100.0,1000.0,
1.3,0.1,3.0,0.001,100.0,1000.0,
1.3,0.25,3.0,0.001,100.0,1000.0,
1.3,1.0,3.0,0.001,100.0,1000.0,
1.325,0.02,3.0,0.001,100.0,1000.0,
1.325,0.05,3.0,0.001,100.0,1000.0,
1.325,0.1,3.0,0.001,100.0,1000.0,
1.325,0.25,3.0,0.001,100.0,1000.0,
1.325,1.0,3.0,0.001,100.0,1000.0,
1.35,0.02,3.0,0.001,100.0,1000.0,
1.35,0.05,3.0,0.001,100.0,1000.0,
1.35,0.1,3.0,0.001,100.0,1000.0,
1.35,0.25,3.0,0.001,100.0,1000.0,
1.35,1.0,3.0,0.001,100.0,1000.0,
1.375,0.02,3.0,0.001,100.0,1000.0,
1.375,0.05,3.0,0.001,100.0,1000.0,
1.375,0.1,3.0,0.001,100.0,1000.0,
1.375,0.25,3.0,0.001,100.0,1000.0,
1.375,1.0,3.0,0.001,100.0,1000.0,
1.4,0.02,3.0,0.001,100.0,1000.0,
1.4,0.05,3.0,0.001,100.0,1000.0,
1.4,0.1,3.0,0.001,100.0,1000.0,
1.4,0.25,3.0,0.001,100.0,1000.0,
1.4,1.0,3.0,0.001,100.0,1000.0,
1.425,0.02,3.0,0.001,100.0,1000.0,
1.425,0.05,3.0,0.001,100.0,1000.0,
1.425,0.1,3.0,0.001,100.0,1000.0,
1.425,0.25,3.0,0.001,100.0,1000.0,
1.425,1.0,3.0,0.001,100.0,1000.0,
1.45,0.02,3.0,0.001,100.0,1000.0,
1.45,0.05,3.0,0.001,100.0,1000.0,
1.45,0.1,3.0,0.001,100.0,1000.0,
1.45,0.25,3.0,0.001,100.0,1000.0,
1.45,1.0,3.0,0.001,100.0,1000.0,
1.475,0.02,3.0,0.001,100.0,1000.0,
1.475,0.05,3.0,0.001,100.0,1000.0,
1.475,0.1,3.0,0.001,100.0,1000.0,
1.475,0.25,3.0,0.001,100.0,1000.0,
1.475,1.0,3.0,0.001,100.0,1000.0,
