Rwt,deltaR,Rfinal,mu,allottedGens,spills,0
1.6,0.2,3.0,0.001,100.0,1000.0,
1.6,0.3,3.0,0.001,100.0,1000.0,
1.6,0.4,3.0,0.001,100.0,1000.0,
1.6,0.5,3.0,0.001,100.0,1000.0,
1.6,0.6,3.0,0.001,100.0,1000.0,
1.6,0.7,3.0,0.001,100.0,1000.0,
1.6,0.8,3.0,0.001,100.0,1000.0,
1.6,0.9,3.0,0.001,100.0,1000.0,
1.6,1.0,3.0,0.001,100.0,1000.0,
1.65,0.1,3.0,0.001,100.0,1000.0,
1.65,0.2,3.0,0.001,100.0,1000.0,
1.65,0.3,3.0,0.001,100.0,1000.0,
1.65,0.4,3.0,0.001,100.0,1000.0,
1.65,0.5,3.0,0.001,100.0,1000.0,
1.65,0.6,3.0,0.001,100.0,1000.0,
1.65,0.7,3.0,0.001,100.0,1000.0,
1.65,0.8,3.0,0.001,100.0,1000.0,
1.65,0.9,3.0,0.001,100.0,1000.0,
1.65,1.0,3.0,0.001,100.0,1000.0,
1.7,0.1,3.0,0.001,100.0,1000.0,
1.7,0.2,3.0,0.001,100.0,1000.0,
1.7,0.3,3.0,0.001,100.0,1000.0,
1.7,0.4,3.0,0.001,100.0,1000.0,
1.7,0.5,3.0,0.001,100.0,1000.0,
1.7,0.6,3.0,0.001,100.0,1000.0,
1.7,0.7,3.0,0.001,100.0,1000.0,
1.7,0.8,3.0,0.001,100.0,1000.0,
1.7,0.9,3.0,0.001,100.0,1000.0,
1.7,1.0,3.0,0.001,100.0,1000.0,
1.75,0.1,3.0,0.001,100.0,1000.0,
1.75,0.2,3.0,0.001,100.0,1000.0,
1.75,0.3,3.0,0.001,100.0,1000.0,
1.75,0.4,3.0,0.001,100.0,1000.0,
1.75,0.5,3.0,0.001,100.0,1000.0,
1.75,0.6,3.0,0.001,100.0,1000.0,
1.75,0.7,3.0,0.001,100.0,1000.0,
1.75,0.8,3.0,0.001,100.0,1000.0,
1.75,0.9,3.0,0.001,100.0,1000.0,
1.75,1.0,3.0,0.001,100.0,1000.0,
1.8,0.1,3.0,0.001,100.0,1000.0,
1.8,0.2,3.0,0.001,100.0,1000.0,
1.8,0.3,3.0,0.001,100.0,1000.0,
1.8,0.4,3.0,0.001,100.0,1000.0,
1.8,0.5,3.0,0.001,100.0,1000.0,
1.8,0.6,3.0,0.001,100.0,1000.0,
1.8,0.7,3.0,0.001,100.0,1000.0,
1.8,0.8,3.0,0.001,100.0,1000.0,
1.8,0.9,3.0,0.001,100.0,1000.0,
1.8,1.0,3.0,0.001,100.0,1000.0,
1.85,0.1,3.0,0.001,100.0,1000.0,
1.85,0.2,3.0,0.001,100.0,1000.0,
1.85,0.3,3.0,0.001,100.0,1000.0,
1.85,0.4,3.0,0.001,100.0,1000.0,
1.85,0.5,3.0,0.001,100.0,1000.0,
1.85,0.6,3.0,0.001,100.0,1000.0,
1.85,0.7,3.0,0.001,100.0,1000.0,
1.85,0.8,3.0,0.001,100.0,1000.0,
1.85,0.9,3.0,0.001,100.0,1000.0,
1.85,1.0,3.0,0.001,100.0,1000.0,
1.9,0.1,3.0,0.001,100.0,1000.0,
1.9,0.2,3.0,0.001,100.0,1000.0,
1.9,0.3,3.0,0.001,100.0,1000.0,
1.9,0.4,3.0,0.001,100.0,1000.0,
1.9,0.5,3.0,0.001,100.0,1000.0,
1.9,0.6,3.0,0.001,100.0,1000.0,
1.9,0.7,3.0,0.001,100.0,1000.0,
1.9,0.8,3.0,0.001,100.0,1000.0,
1.9,0.9,3.0,0.001,100.0,1000.0,
1.9,1.0,3.0,0.001,100.0,1000.0,
1.95,0.1,3.0,0.001,100.0,1000.0,
1.95,0.2,3.0,0.001,100.0,1000.0,
1.95,0.3,3.0,0.001,100.0,1000.0,
1.95,0.4,3.0,0.001,100.0,1000.0,
1.95,0.5,3.0,0.001,100.0,1000.0,
1.95,0.6,3.0,0.001,100.0,1000.0,
1.95,0.7,3.0,0.001,100.0,1000.0,
1.95,0.8,3.0,0.001,100.0,1000.0,
1.95,0.9,3.0,0.001,100.0,1000.0,
1.95,1.0,3.0,0.001,100.0,1000.0,
