Rwt,deltaR,Rfinal,mu,allottedGens,spills,nTooBig,pUnfinished,pEmergent,pExtinct,Emergent_size,Extinct_size,Emergent_generation,Extinct_generation
1.1375,0.2,3.0,0.001,100.0,1000.0,0,0.0,0.244,0.756,34149535.08,6.615079365079365,82.50409836065573,3.376984126984127
1.1375,0.3,3.0,0.001,100.0,1000.0,0,0.0,0.222,0.778,52957541.5,7.041131105398458,73.27927927927928,3.390745501285347
1.1375,0.4,3.0,0.001,100.0,1000.0,0,0.0,0.23,0.77,8081568.333333333,7.685714285714286,65.45217391304348,3.397402597402597
1.1375,0.5,3.0,0.001,100.0,1000.0,0,0.0,0.212,0.788,,7.694162436548224,60.674528301886795,3.5253807106598987
1.1375,0.6,3.0,0.001,100.0,1000.0,0,0.0,0.255,0.745,32031376.0,7.140939597315437,59.4,3.4604026845637583
1.1375,0.7,3.0,0.001,100.0,1000.0,0,0.0,0.251,0.749,27572443.0,7.148197596795727,58.16334661354582,3.4966622162883847
1.1375,0.8,3.0,0.001,100.0,1000.0,0,0.0,0.241,0.759,132354529.0,7.0895915678524375,54.6597510373444,3.3201581027667983
1.1375,0.9,3.0,0.001,100.0,1000.0,0,0.0,0.219,0.781,,8.157490396927017,52.15068493150685,3.530089628681178
1.1375,1.0,3.0,0.001,100.0,1000.0,0,0.0,0.207,0.793,10560807.193236714,7.607818411097099,99.0,3.561160151324086
1.15,0.1,3.0,0.001,100.0,1000.0,0,0.0,0.23,0.77,41188824.00934579,7.631168831168831,94.31304347826087,3.4402597402597404
1.15,0.2,3.0,0.001,100.0,1000.0,0,0.0,0.253,0.747,26272650.153846152,7.373493975903615,80.28458498023716,3.3748326639892907
1.15,0.3,3.0,0.001,100.0,1000.0,0,0.0,0.249,0.751,40391080.0,7.2836218375499335,71.81927710843374,3.367509986684421
1.15,0.4,3.0,0.001,100.0,1000.0,0,0.0,0.248,0.752,5223766.0,7.485372340425532,63.88306451612903,3.4720744680851063
1.15,0.5,3.0,0.001,100.0,1000.0,0,0.0,0.263,0.737,4098105.5,7.5943012211668925,61.167300380228134,3.5970149253731343
1.15,0.6,3.0,0.001,100.0,1000.0,0,0.0,0.266,0.734,232255.0,7.006811989100817,58.61654135338346,3.4591280653950953
