Rwt,deltaR,Rfinal,mu,allottedGens,spills,nTooBig,pUnfinished,pEmergent,pExtinct,Emergent_size,Extinct_size,Emergent_generation,Extinct_generation
1.0,0.05,3.0,0.001,100.0,1000.0,0,0.0,0.022,0.978,5237.5,32.75153374233129,99.0,6.118609406952965
1.0,0.1,3.0,0.001,100.0,1000.0,0,0.0,0.022,0.978,74071.63636363637,32.964212678936605,99.0,6.273006134969325
1.0,0.25,3.0,0.001,100.0,1000.0,0,0.0,0.025,0.975,3433383.375,28.005128205128205,91.12,5.701538461538462
1.0,1.0,3.0,0.001,100.0,1000.0,0,0.0,0.014,0.986,3496.785714285714,30.591277890466532,99.0,5.873225152129818
1.05,0.02,3.0,0.001,100.0,1000.0,0,0.0,0.091,0.909,35333.318681318684,19.513751375137513,99.0,5.265126512651265
1.05,0.05,3.0,0.001,100.0,1000.0,0,0.0,0.096,0.904,96671.6875,18.233407079646017,99.0,5.125
1.05,0.1,3.0,0.001,100.0,1000.0,0,0.0,0.106,0.894,2131236.9803921566,19.049217002237135,98.86792452830188,5.024608501118569
1.05,0.25,3.0,0.001,100.0,1000.0,0,0.0,0.086,0.914,26744681.451612905,15.903719912472647,84.65116279069767,4.74835886214442
1.05,1.0,3.0,0.001,100.0,1000.0,0,0.0,0.092,0.908,29445.543478260868,19.424008810572687,99.0,5.120044052863436
1.1,0.02,3.0,0.001,100.0,1000.0,0,0.0,0.158,0.842,853707.5443037974,8.592636579572446,99.0,3.705463182897862
1.1,0.05,3.0,0.001,100.0,1000.0,0,0.0,0.155,0.845,1770379.812903226,9.444970414201183,99.0,4.040236686390532
1.1,0.1,3.0,0.001,100.0,1000.0,0,0.0,0.176,0.824,12167168.382550336,10.004854368932039,97.68181818181819,4.063106796116505
1.1,0.25,3.0,0.001,100.0,1000.0,0,0.0,0.196,0.804,28746353.78787879,6.66044776119403,80.78061224489795,3.3420398009950247
1.1,1.0,3.0,0.001,100.0,1000.0,0,0.0,0.17,0.83,717270.0470588235,11.987951807228916,99.0,4.187951807228916
