pEmergent,pExtinct,Emergent_size,Extinct_size,Emergent_generation,Extinct_generation
0.0,1.0,,28.98477157360406,,6.094416243654822
0.009,0.991,,27.930927835051545,79.22222222222223,5.981443298969072
0.015,0.985,,21.359133126934985,82.13333333333334,5.3343653250774
0.027,0.973,,24.579710144927535,73.92592592592592,5.583850931677019
0.017,0.983,,20.931352459016395,62.8235294117647,5.229508196721311
0.036,0.964,,20.468684759916492,60.05555555555556,5.250521920668058
0.037,0.963,,22.315569487983282,61.2972972972973,5.45141065830721
0.025,0.975,,23.60618556701031,51.56,5.525773195876289
0.038,0.962,,20.60774058577406,55.6578947368421,5.067991631799163
0.0,1.0,,40.60627530364373,,7.0131578947368425
0.002,0.998,,18.075245365321702,87.0,4.748091603053435
0.03,0.97,,16.975690607734805,84.13333333333334,4.992265193370166
0.055,0.945,,17.715077605321508,81.38181818181818,5.136363636363637
0.082,0.918,,14.778026905829597,74.34146341463415,4.689461883408072
0.079,0.921,,16.938820912124584,70.53164556962025,4.951056729699666
0.084,0.916,,20.049723756906076,66.63095238095238,5.274033149171271
0.085,0.915,,14.201320132013201,62.811764705882354,4.756875687568757
0.106,0.894,,15.947845804988662,66.83018867924528,4.611111111111111
0.102,0.898,,16.80963045912654,63.333333333333336,4.793952967525196
0.0,1.0,,17.942794279427943,,5.278327832783278
0.021,0.979,,10.987562189054726,93.66666666666667,4.2288557213930345
0.128,0.872,,10.483790523690773,85.328125,3.8940149625935163
0.16,0.84,,9.314565483476132,77.7,3.8984088127294982
0.178,0.8220000000000001,,10.788437884378844,71.95505617977528,4.23370233702337
0.158,0.842,,8.796407185628743,65.72151898734177,3.645508982035928
0.143,0.857,,9.511163337250293,62.0979020979021,3.9870740305522916
0.186,0.8140000000000001,,8.871127633209417,63.29032258064516,3.8612143742255265
0.159,0.841,,9.175417661097852,59.522012578616355,3.9212410501193316
0.18,0.8200000000000001,,9.265281173594133,57.40555555555556,3.8166259168704157
0.0,1.0,,11.576271186440678,,4.3825665859564165
0.151,0.849,,6.164,90.58940397350993,3.2586666666666666
0.247,0.753,,7.331090174966353,79.93522267206478,3.356662180349933
0.226,0.774,,6.403896103896104,70.34955752212389,3.2025974025974024
0.232,0.768,,6.25359477124183,65.90948275862068,3.2222222222222223
0.263,0.737,,7.449118046132972,61.55893536121673,3.44640434192673
0.263,0.737,,6.2146739130434785,57.11026615969582,3.2214673913043477
0.222,0.778,,6.733247422680412,56.02252252252252,3.3969072164948453
0.259,0.741,,7.001349527665317,54.6988416988417,3.311740890688259
0.257,0.743,,6.66621803499327,50.81712062256809,3.370121130551817
0.003,0.997,,7.7792732166890985,97.33333333333333,3.5370121130551815
0.316,0.6839999999999999,,5.892171344165436,82.00316455696202,3.1477104874446087
0.32,0.6799999999999999,,4.894117647058824,72.05625,2.8588235294117648
0.328,0.6719999999999999,,5.1413690476190474,63.640243902439025,2.9985119047619047
0.327,0.673,,5.403273809523809,59.042813455657495,3.043154761904762
0.309,0.6910000000000001,,5.771345875542692,56.01294498381877,3.063675832127352
0.298,0.702,,5.297720797720798,53.352348993288594,3.032763532763533
0.307,0.6930000000000001,,5.340548340548341,50.00325732899023,3.0764790764790764
0.34,0.6599999999999999,,5.472727272727273,48.726470588235294,3.0939393939393938
0.284,0.716,,5.848137535816619,87.29225352112677,3.174785100286533
0.285,0.7150000000000001,,5.82972582972583,87.95438596491228,3.1948051948051948
0.374,0.626,,5.624600638977636,70.70588235294117,3.059105431309904
0.374,0.626,,4.861022364217252,64.04812834224599,2.862619808306709
0.407,0.593,,4.391231028667791,58.34152334152334,2.8920741989881957
0.411,0.589,,4.477079796264856,54.08272506082725,2.872665534804754
0.355,0.645,,4.889922480620155,51.63098591549296,2.8108527131782948
0.395,0.605,,4.8,49.73670886075949,2.8578512396694213
0.37,0.63,,5.228571428571429,46.5945945945946,3.0396825396825395
0.362,0.638,,3.8448275862068964,45.41436464088398,2.512539184952978
0.348,0.652,,4.7684049079754605,74.0603448275862,2.958588957055215
0.386,0.614,,4.600977198697068,73.98704663212435,2.788273615635179
0.434,0.5660000000000001,,3.5547703180212014,61.866359447004605,2.452296819787986
0.426,0.5740000000000001,,3.3588850174216027,58.262910798122064,2.416376306620209
0.442,0.558,,4.134408602150538,53.90497737556561,2.761648745519713
0.423,0.577,,3.8925476603119584,50.118203309692674,2.584055459272097
0.422,0.5780000000000001,,3.9792387543252596,47.535545023696685,2.5519031141868513
0.436,0.5640000000000001,,3.50531914893617,46.137614678899084,2.4592198581560285
0.397,0.603,,3.69983416252073,43.931989924433246,2.517412935323383
0.425,0.575,,4.104347826086957,42.830588235294115,2.6556521739130434
0.433,0.567,,4.0511463844797175,64.0,2.6507936507936507
0.417,0.583,,4.847341337907376,63.73621103117506,2.8919382504288165
0.468,0.532,,3.6296992481203008,55.59615384615385,2.486842105263158
0.462,0.538,,3.436802973977695,53.36796536796537,2.3940520446096656
0.475,0.525,,3.4076190476190478,50.090526315789475,2.4076190476190478
0.477,0.523,,3.2332695984703634,47.0104821802935,2.3193116634799233
0.456,0.544,,3.244485294117647,44.47149122807018,2.3143382352941178
0.49,0.51,,3.4411764705882355,43.20204081632653,2.425490196078431
0.463,0.5369999999999999,,3.2420856610800746,41.60691144708424,2.292364990689013
0.456,0.544,,3.213235294117647,40.31140350877193,2.318014705882353
0.452,0.548,,3.2974452554744524,56.80088495575221,2.3485401459854014
0.494,0.506,,3.9130434782608696,56.72672064777328,2.5434782608695654
0.502,0.498,,3.317269076305221,50.35657370517928,2.3855421686746987
0.506,0.494,,3.0566801619433197,48.97826086956522,2.283400809716599
0.526,0.474,,3.2320675105485233,46.47908745247148,2.339662447257384
0.49,0.51,,3.1372549019607843,44.24285714285714,2.331372549019608
0.499,0.501,,3.1197604790419162,41.93787575150301,2.291417165668663
0.525,0.475,,3.0,40.819047619047616,2.231578947368421
