Rwt,deltaR,Rfinal,mu,allottedGens,spills,nTooBig,pUnfinished,pEmergent,pExtinct,Emergent_size,Extinct_size,Emergent_generation,Extinct_generation
1.0,0.02,3.0,0.001,100.0,1000.0,0,0.0,0.017,0.983,3690.0588235294117,36.91861648016277,99.0,6.612410986775178
1.0,0.05,3.0,0.001,100.0,1000.0,0,0.0,0.02,0.98,4043.65,38.92755102040816,99.0,6.472448979591837
1.0,0.1,3.0,0.001,100.0,1000.0,0,0.0,0.023,0.977,1552785.956521739,30.0,99.0,5.976458546571136
1.0,0.25,3.0,0.001,100.0,1000.0,0,0.0,0.036,0.964,2899.3636363636365,28.401452282157678,84.77777777777777,6.178423236514523
1.0,1.0,3.0,0.001,100.0,1000.0,0,0.0,0.022,0.978,3638.6363636363635,34.41104294478528,99.0,6.180981595092025
1.025,0.02,3.0,0.001,100.0,1000.0,0,0.0,0.06,0.94,8741.333333333334,30.969148936170214,99.0,6.126595744680851
1.025,0.05,3.0,0.001,100.0,1000.0,0,0.0,0.054,0.946,29967.703703703704,25.32029598308668,99.0,5.56553911205074
1.025,0.1,3.0,0.001,100.0,1000.0,0,0.0,0.05,0.95,147275.306122449,25.454736842105262,98.84,5.722105263157895
1.025,0.25,3.0,0.001,100.0,1000.0,0,0.0,0.058,0.942,6961050.657142857,20.59235668789809,89.93103448275862,5.3036093418259025
1.025,1.0,3.0,0.001,100.0,1000.0,0,0.0,0.056,0.944,6624.392857142857,36.75953389830509,99.0,6.398305084745763
1.05,0.02,3.0,0.001,100.0,1000.0,0,0.0,0.097,0.903,31906.309278350516,17.74750830564784,99.0,4.712070874861572
1.05,0.05,3.0,0.001,100.0,1000.0,0,0.0,0.102,0.898,83121.60784313726,25.05567928730512,99.0,5.756124721603563
1.05,0.1,3.0,0.001,100.0,1000.0,0,0.0,0.107,0.893,2749395.9029126214,19.001119820828666,98.76635514018692,4.91377379619261
1.05,0.25,3.0,0.001,100.0,1000.0,0,0.0,0.108,0.892,5142858.098039215,14.831838565022421,86.23148148148148,4.5807174887892375
1.05,1.0,3.0,0.001,100.0,1000.0,0,0.0,0.098,0.902,20674.775510204083,22.32150776053215,99.0,5.630820399113082
1.075,0.02,3.0,0.001,100.0,1000.0,0,0.0,0.15,0.85,129770.01333333334,13.170588235294117,99.0,4.6905882352941175
1.075,0.05,3.0,0.001,100.0,1000.0,0,0.0,0.132,0.868,533306.2424242424,12.460829493087557,99.0,4.349078341013825
1.075,0.1,3.0,0.001,100.0,1000.0,0,0.0,0.133,0.867,6515139.7086614175,12.74971164936563,98.64661654135338,4.388696655132641
1.075,0.25,3.0,0.001,100.0,1000.0,0,0.0,0.122,0.878,23840023.891304348,12.851936218678816,85.56557377049181,4.5
1.075,1.0,3.0,0.001,100.0,1000.0,0,0.0,0.134,0.866,133718.6194029851,14.506928406466512,99.0,4.88568129330254
1.1,0.02,3.0,0.001,100.0,1000.0,0,0.0,0.167,0.833,981123.0838323353,10.15846338535414,99.0,4.060024009603842
1.1,0.05,3.0,0.001,100.0,1000.0,0,0.0,0.201,0.799,2080000.6865671643,10.667083854818523,99.0,4.11514392991239
1.1,0.1,3.0,0.001,100.0,1000.0,0,0.0,0.168,0.832,12214258.913333334,9.584134615384615,98.24404761904762,3.9555288461538463
1.1,0.25,3.0,0.001,100.0,1000.0,0,0.0,0.193,0.807,24915459.45,8.480793060718712,80.23316062176166,3.7608426270136306
1.1,1.0,3.0,0.001,100.0,1000.0,0,0.0,0.172,0.828,612809.0581395349,8.390096618357488,99.0,3.595410628019324
1.125,0.02,3.0,0.001,100.0,1000.0,0,0.0,0.219,0.781,4926456.561643835,8.405889884763123,99.0,3.7183098591549295
1.125,0.05,3.0,0.001,100.0,1000.0,0,0.0,0.228,0.772,8960829.25909091,10.191709844559586,98.89912280701755,4.071243523316062
1.125,0.1,3.0,0.001,100.0,1000.0,0,0.0,0.205,0.795,26206857.297709923,6.968553459119497,96.15121951219513,3.4113207547169813
1.125,0.25,3.0,0.001,100.0,1000.0,0,0.0,0.211,0.789,44783709.571428575,9.197718631178708,75.86729857819905,3.8111533586818758
1.125,1.0,3.0,0.001,100.0,1000.0,0,0.0,0.193,0.807,4676210.492227979,7.589838909541512,99.0,3.482032218091698
